class	type/scale	name	relevance	text	help	language	validation	em_validation_q	mandatory	other	default	same_default	hidden	hide_tip
S		language	1	de		de								
S		format	1	A		de								
S		shownoanswer	1	N		de								
SL		surveyls_title	1	Untitled Survey		de								
G		Questions	1			de								
Q	L	aufmerksam	1	Wie sind Sie auf unser Angebot aufmerksam geworden?		de				Y				1
A		such		Suchmaschine		de								
A		empf		Persönliche Empfehlung		de								
A		sozme		Soziale Medien		de								
Q	S	aufmerksamother	aufmerksam == 'other'	Sonstiges (bitte angeben)		de								1
